SNO,Ingridient,Calories,Cholesterol,Sodium,Fat,Sugar,Protein,vm
1,bittergourd,21,0,6,0,0,1,"A,B1,B2,B3,C,CALCIUM,IRON,"
2,salt,0,0,0,0,0,0,"SODIUM,MANGANEESE,CALCIUM"
3,onion,40,0,4,0.1,4.2,1.1,"C,B6,POTASSIUM,CALCIUM"
4,gramflour,356,0,64,6,10,20,"POTASSIUM,PHOSPHOROUS,MAGNESIUM"
5,turmericpowder,0,0,0,0,0,0,"C,B6,IRON,MAGNESIUM"
6,redchillipowder,0,0,0,0,0,0,"C,B6,IRON,MAGNESIUM"
7,cuminseeds,0,0,0,0,0,0,"C,B6,IRON,MAGNESIUM"
8,corianderpowder,0,0,0,0,0,0,"POTASSIUM,IRON,CALCIUM"
9,amchur,0,0,0,0,0,0,"SODIUM,CALCIUM"
10,sunfloweroil,884,0,0,100,0,0,NA
11,rice,130,0,1,0.3,0.1,2.7,"B6,IRON"
12,tomatoes,18,0,5,0.2,2.6,0.9,"C,B6,MAGNESIUM"
13,bcbellebhatpowder,0,0,0,0,0,0,NA
14,chickpealentils,214,0,607,8.93,3.57,10.71,"C,E,POTASSIUM,PHOSPHOROUS"
15,whiteuraddal,371,0,29,1.8,0,25.7,"SODIUM,IRON"
16,mustard,490,0,0,28,3,29,"D,PHOSPHOROUS,POTASSIUM"
17,greenchillies,40,0,9,0.4,5,1.9,"C,B6,MAGNESIUM"
18,dryredchillies,6,0,0,0,1,0,"C,B6,POTASSIUM,"
19,cashew,157,0,3,12.43,1.68,5.17,"C,B6,MAGNESIUM,IRON"
20,oil,884,0,0,100,0,0,NA
21,asafoetida,64,0,4,1,0,1,CALCIUM
22,ricevermicellinoodles,190,0,33.4,0.4,0.05,3.2,"IRON,MAGNESIUM,CALCIUM"
23,carrot,41,0,69,0.2,4.7,0.9,"C,B6,MAGNESIUM"
24,greenpeas,81,0,5,0.1,6,5,"C,B6,IRON"
25,mustardseeds,508,0,13,36,7,26,"C,B6,MAGNESIUM,IRON"
26,ghee,130,0,0,15,0,0,"A,D,K"
27,curryleaves,108,0,0,0,0,6.1,"A,B,C,E"
28,lemonjuice,25,0,1,0,2.4,0.8,"A,C,POTASSIUM,CALCIUM"
29,chicken,239,88,82,14,0,27,"B6,IRON,COBALAMIN"
30,ginger,80,0,13,0.8,1.7,1.8,"B6,C,MAGNESIUM"
31,cloves,0,0,0,0,0,0,NA
32,garlic,149,0,17,0.5,1,6.4,"A,C,CALCIUM"
33,garammasalapowder,393.86,0,130,23.72,0,16.62,"A,C"
34,sesameoil,884,0,0,100,0,0,NA
35,methiseeds,323,0,67,6,0,23,"B6,C,IRON,MAGNESIUM"
36,corianderseeds,268.88,0,46,17.47,0.9,10.66,"A,CHOLINE,POTASSIUM"
37,fennelseeds,36,0,20,0.22,3.93,1.4,"C,K,MAGNESIUM"
38,sorrelleaves,29,0,5.3,1,0,2.5,"A,C,MAGNESIUM,IRON"
39,chanadal,383.76,0,50,6.4,12,21,"IRON,CALCIUM"
40,moongdal,347,0,15,1.2,7,24,"C,B6,MAGNESIUM,IRON"
41,mintleaves,70,0,31,0.9,0,3.8,"C,B6,IRON,CALCIUM"
42,coriander,0,0,0,0,0,0,"IRON,CALCIUM"
43,water,0,0,0,0,0,0,NA
44,cashewnuts,574,0,16,46,5,15,"C,POTASSIUM,CALCIUM"
45,blackpeppercorns,30,0,0,0,0,0,"A,K,POTASSIUM"
46,vellaipoosanikai,65,0,0,3.5,3,1.5,"A,K,E,IRON"
47,coconut,354,0,20,33.5,6.23,3,"C,POTASSIUM,CALCIUM"
48,tamarindwater,99,0,8.4,0.4,20,0.6,"POTASSIU,CALCIUM"
49,methiseeds,323,0,67,6,0,23,"B6,C,MAGNESIUM,CALCIUM"
50,sesameseeds,537,0,11,50,0.3,18,"Calicum,Magnesium,Manganese,Zinc"
51,jaggery,30,0,3,1,9.7,0.01,"B12,B6,Magneisum,selenium"
52,mustardseeds,10,0,0.3,0.7,0.1,0.5,"D,Calicum,iron,potassium "
53,tortillas,318,4,765,8.3,3.9,8.5,"D,Calicum,iron,potassium "
54,blackbeans,114,0,0,0,0.28,8,"A,C,Calicum,iron"
55,spinachleaves,23,0,79,0.39,0.4,2.86,"Iron,Magnisum,Calicum,Potassium"
56,oniongreen,31,0,6,0.2,3.3,1.8,"A,C,K,B6,Iron,patassium,"
57,cheddarcheese,120,105,190,10,1,7,"A,B12"
58,hungcurd,100,14,371,4.2,1.3,11.75,"D,calicum,iron,potassium "
59,idli,51,0,75,0.4,0.1,1.6,"A,C,calicum,iron"
60,greenbellpepper,31,0,0,0.3,4.2,1,"C,B6,A1,E,A"
61,tomatoketchup,15,0,136,0.02,3.2,0.2,"C,A"
62,cabbageleaves,22,0,16,0.1,2.9,1.1,"K,C,Folate,Potassium "
63,tamarind,239,0,28,0.6,57.4,2.8,"B,C,Potassium "
64,rye,571,0,3.4,2.8,1.7,17,"D,calicum,iron,potassium "
